"Method","Age","Sex","AD status","Batch"
"Raw",33.56,25.5,15.55,101.73
"Lambda = 0.00625",34.02,18.91,17.9,0
"Lambda = 0.025",33.38,17.77,17.4,0
"Lambda = 0.1",32.66,18.54,17.65,0
"Lambda = 0.4",33.94,19.05,18.3,0
"Lambda = 1.6",34.35,18.72,18.17,0
